ఆఫ్రికా	Africa
గ్నూ హర్డ్	GNU Hurd
వోయెజర్ 2	Voyager 2
క్యూరియాసిటీ	Curiosity (rover)
అయోమయ నివృత్తి	Word-sense disambiguation
ఆఫ్రికా-అమెరికా చట్ట హక్కుల ఉద్యమం (1955-1968)	African-American Civil Rights Movement (1954–68)
రోసెట్టా వ్యోమనౌక	Rosetta (spacecraft)
తోటపని	Horticulture
పరదా	Curtain
దారం	Yarn
చంద్రయాన్	Chandrayaan-1
కుట్టు మిషను	Sewing machine
తెలుగు కథ	Short story
మసాచుసెట్స్ ఇన్సిట్యూట్ ఆఫ్ టెక్నాలజీ	Massachusetts Institute of Technology
పెన్సిల్వేనియా విశ్వవిద్యాలయం	University of Pennsylvania
భోజ్‌పూర్	Bhojpur district, India
భగల్‌పూర్	Bhagalpur district
బెగుసరాయ్	Begusarai district
తూర్పు చంపారణ్	East Champaran district
దర్భంగా	Darbhanga district
బక్సార్	Buxar district
జమూయి	Jamui district
గోపాల్‌గంజ్	Gopalganj district, India
ఖగరియా	Khagaria district
జహానాబాద్	Jehanabad district
రోచెస్టర్, న్యూయార్క్	Rochester, New York
సాలి రైడ్	Sally Ride
ఆల్బర్ట్ స్విట్జర్	Albert Schweitzer
పర్యాటక రంగం	Tourism
ఏలియమ్	Allium
మారుపేరు	Nickname
పీచుమిఠాయి	Cotton candy
ప్రేయసి	Girlfriend
వివాహం (పెళ్లి)	Wedding
గెలుపు	Victory
నీటి వర్ణ చిత్రాలు	Watercolor painting
డైర్ స్ట్రెయిట్స్	Dire Straits
ట్రోజన్ హార్స్	Trojan Horse
శుభోదయం	Good morning
రిచర్డ్ అటెన్‌బరో	Richard Attenborough
కొండమీద ప్రసంగం	Sermon on the Mount
ఇస్లాం క్రైస్తవ మతాల మధ్య సంబంధాలు	Jesus in Islam
యూహాన్నా అల్ దెమాష్కీ	John of Damascus
ఎబోలా వైరస్ వ్యాధి	Ebola virus disease
షేక్ హసీనా	Sheikh Hasina
సుంకం	Tariff
మూస:Chembox	Template:Chembox
మూస:సమాచారపెట్టె ఖనిజం	Template:Infobox mineral
మూస:Taxobox	Template:Taxobox
ఎరిక్సన్	Ericsson
ఘనీభవించిన భుజం	Adhesive capsulitis of shoulder
ప్రసంగం	Speech
బ్లాక్ కామెడీ	Black comedy
రక్త దానం	Blood donation
అకాంథేసి	Acanthaceae
లామియేసి	Lamiaceae
లిలియేసి	Liliaceae
రామభద్రాచార్య	Rambhadracharya
కప్ప	Frog
సాలమండర్	Salamander
దోపిడీ	Robbery
కొండ	Hill
ద్రవాభిసరణం	Osmosis
సిడ్నీ హార్బర్ వంతెన	Sydney Harbour Bridge
మార్టినా నవ్రతిలోవా	Martina Navratilova
ఆండీ రాడిక్	Andy Roddick
జఘన జుట్టు	Pubic hair
సునీతా విలియమ్స్	Sunita Williams
రిత్విక్ ఘటక్	Ritwik Ghatak
శ్యామ్ బెనగళ్	Shyam Benegal
రాజ్ కపూర్	Raj Kapoor
పెథిడిన్	Pethidine
స్పైస్ గర్ల్స్	Spice Girls
సమర్థ రామదాసు	Samarth Ramdas
ఓప్రా విన్‌ఫ్రే	Oprah Winfrey
భారత స్వాతంత్ర్య దినోత్సవం	Independence Day (India)
స్యాలమెంక	Salamanca, Chile
డెస్క్‌టాప్ కంప్యూటర్	Desktop computer
పారాసిటమాల్	Paracetamol
ఫ్రిట్జ్ హేబర్	Fritz Haber
కంచము	Plate (dishware)
జాకబ్ జుమా	Jacob Zuma
మహీంద రాజపక్స	Mahinda Rajapaksa
ప్రణబ్ ముఖర్జీ	Pranab Mukherjee
కోట	Fortification
పాశ్చరైజేషన్	Pasteurization
సురవరం సుధాకర్ రెడ్డి	Suravaram Sudhakar Reddy
తక్షణ సందేశం	Instant messaging
డిమ్ము బోర్‌గిర్	Dimmu Borgir
మిరిస్టోలిక్ ఆమ్లం	Myristoleic acid
శ్రుతి	Shruti (music)
ఎస్.ఎమ్. కృష్ణ	S. M. Krishna
ఫీల్డింగ్ (క్రికెట్)	Fielding (cricket)
పంజాబీ భాష	Punjabi language
బ్రాసికా	Brassica
అరేబియా సముద్రము	Arabian Sea
కాలుష్యం	Pollution
లిలీ అలెన్	Lily Allen
సౌర ఘటం	Solar cell
సరస్వతి	Saraswati
ఎక్కిళ్ళు	Hiccup
రాట్నం	Spinning wheel
కాకినాడ	Kakinada
జిలేబీ	Jalebi
అరవింద్ కేజ్రివాల్	Arvind Kejriwal
శివసేన	Shiv Sena
బలి చక్రవర్తి	Mahabali
పిల్లి చేప	Catfish
ఆటో రిక్షా	Auto rickshaw
చామంతి	Chrysanthemum
ఆస్కార్ షిండ్లర్	Oskar Schindler
హెడీ క్లమ్	Heidi Klum
వెంకటరామన్ రామకృష్ణన్	Venkatraman Ramakrishnan
రజినీకాంత్	Rajinikanth
ది సౌండ్ ఆఫ్ మ్యూజిక్	The Sound of Music (film)
మాక్స్ ముల్లర్	Max Müller
ఆట్టో వాన్ గెరిక్	Otto von Guericke
భారత ఉపఖండము	Indian subcontinent
సంకేతాధ్యయన శాస్త్రం	Semiotics
చంద్రశేఖర వేంకట రామన్	C. V. Raman
నమస్కారం	Namaste
కేథలిక్ బైబిల్ గ్రంధాలు	Gospel of Philip
తోక	Tail
కులపతి	Chancellor (education)
బాల్ థాకరే	Bal Thackeray
హిస్టమిన్	Histamine
ప్రి-ఎక్లంప్సియా	Pre-eclampsia
నెల్లూరు	Nellore
కొవ్వు ఆమ్లం	Fatty acid
ప్రాచి దేశాయ్	Prachi Desai
రోలెక్స్	Rolex
లండన్ టవర్	Tower of London
వెస్ట్ మినిస్టర్ రాజభవనం	Palace of Westminster
కెనాన్ ఇంక్	Canon (company)
శంఖము	Conch
ఖగోళ వేధశాల	Observatory
మౌర్య సామ్రాజ్యం	Maurya Empire
నిద్రమాత్ర	Hypnotic
కోకస్	Coccus
కెనాన్ ఈ ఓ ఎస్ 1100డి	Canon EOS 1100D
జెనీలియా	Genelia D'Souza
మరుగుజ్జు వృక్షాలు	Bonsai
పిత్తాశయము	Gallbladder
విద్యుద్విశ్లేషణ	Electrolysis
కెనాన్ ఈ ఓ ఎస్ 600డి	Canon EOS 600D
ఆంథోనీ హాప్కిన్స్	Anthony Hopkins
పైత్యరసం	Bile
ఖలీఫా	Caliph
డ్యుయిష్ బ్యాంక్	Deutsche Bank
ఇండోర్	Indore
దమన్ దియు	Daman and Diu
పుదుచ్చేరి	Puducherry
భారతదేశంలో రిజర్వేషన్	Reservation in India
ఐశ్వర్య	Aishwarya (actress)
యావజ్జీవ కారాగారశిక్ష	Life imprisonment
ఎముక విరుపు	Bone fracture
పాముకాటు	Snakebite
విద్యా హక్కు	Right to education
అజ్మల్ కసబ్	Ajmal Kasab
సైబీరియన్ పులి	Siberian tiger
ఠుమ్రి	Thumri
ద్రావిడ ప్రజలు	Dravidian peoples
ఎయిర్ ఇండియా	Air India
ఆదాము	Adam
పెండలము	Dioscorea
వక్రీభవనం	Refraction
విద్యుత్ మోటారు	Electric motor
కాగితపు విమానం	Paper plane
పండుగప్ప	Barramundi
అడవి ఆముదము చెట్టు	Jatropha curcas
డెల్ఫీ	Delphi
పీఠభూమి	Plateau
ఎ లాట్ లైక్ లవ్	A Lot like Love
సరసాంగి రాగం	Sarasangi
ఎలిజబెత్ హర్లె	Elizabeth Hurley
సామ్యూల్ F. B. మోర్స్	Samuel Morse
హాగ్ చేప	Hagfish
బుడగ	Bubble
ద్రవ బుడగ	Liquid bubble
సబ్బు బుడగ	Soap bubble
బోరిస్ బెకర్	Boris Becker
26/11 ముంబై పై దాడి	2008 Mumbai attacks
ఎమిల్ వాన్ బెరింగ్	Emil von Behring
డాప్లర్ ప్రభావం	Doppler effect
కన్నీరు	Tears
చొక్కా	Shirt
ఫ్రెడ్రిక్‌ అగస్ట్‌ కెకూలే	August Kekulé
మాక్స్‌ డెల్‌బ్రక్	Max Delbrück
కిషన్‌గంజ్	Kishanganj district
ముంగేర్	Munger district
మధుబని	Madhubani district
లఖిసరాయ్	Lakhisarai district
కతిహార్	Katihar district
సివిల్ ఇంజనీరింగ్	Civil engineering
రేడియాలజీ	Radiology
మాధెపురా	Madhepura district
ఏకదళబీజాలు	Monocotyledon
వీధి	Street
సూపర్ మేన్	Superman
గూగుల్ క్రోమ్ OS	Chrome OS
గూగుల్ డెస్క్‌టాప్	Google Desktop
గూగుల్ ప్లే	Google Play
గూగుల్ వెబ్ టూల్‌కిట్	Google Web Toolkit
తుఫాను (సైక్లోన్)	Cyclone
గజపతి వంశము	Gajapati Kingdom
3G	3G
లైసెన్సు	License
కిలోబైట్	Kilobyte
టెరాబైట్	Terabyte
కొవ్వొత్తి	Candle
భారమితి	Barometer
ఫ్రెండ్స్ (ధారావాహిక)	Friends
తట్టు	Measles
యాంత్రిక అనువాదం	Machine translation
క్రోధం	Anger
బ్రెయిలీ లిపి	Braille
ప్రభుత్వేతర సంస్థ	Non-governmental organization
కృష్ణ పదార్థం	Dark matter
మొటిమ	Acne vulgaris
పుప్పొడి	Pollen
క్రైస్ట్‌ ద రిడీమర్ (శిలా విగ్రహం)	Christ the Redeemer (statue)
కాశీ	Varanasi
25 (సంఖ్య)	25 (number)
24 (సంఖ్య)	24 (number)
గజనిమ్మ	Pomelo
చెక్కు	Cheque
ప్రిజన్ బ్రేక్	Prison Break
సొనెట్	Sonnet
మేగాన్ ఫాక్స్	Megan Fox
చిహ్నం	Symbol
కలబంద	Aloe vera
మానవీయ శాస్త్రాలు	Humanities
టోపీ	Hat
చింపాంజీ	Chimpanzee
జోసెఫ్ లూయిస్ లెగ్రాంజ్	Joseph-Louis Lagrange
సీసా	Bottle
చింత	Tamarind
ఏంజెల్ జలపాతము	Angel Falls
కార్న్	Korn
ఓం పురి	Om Puri
లిబరేషన్ టైగర్స్ ఆఫ్ తమిళ్ ఈలం	Liberation Tigers of Tamil Eelam
బెంగాల్	Bengal
ముంగిస	Mongoose
పాట్నా	Patna
రూపాయి	Indian rupee
బెండకాయ	Okra
జలవిద్యుత్	Hydroelectricity
డైనమైట్	Dynamite
టెన్సింగ్ నార్కే	Tenzing Norgay
పలభా యంత్రము	Sundial
స్పుత్నిక్	Sputnik 1
హ్యారీ పాటర్ అండ్ ది ఆర్డర్ ఆఫ్ ది ఫినిక్స్	Harry Potter and the Order of the Phoenix
అన్నే బోలీన్	Anne Boleyn
గబ్రియేలా మిస్ట్రాల్	Gabriela Mistral
అణు రియాక్టరు	Nuclear reactor
జేమ్స్ చాడ్విక్	James Chadwick
మైక్రోసాఫ్ట్ ఔట్లుక్	Microsoft Outlook
పశు పోషణ	Animal husbandry
కేట్ బ్లాంచెట్	Cate Blanchett
జుడాస్ ఇస్కారియట్	Judas Iscariot
ఈక	Feather
జలచక్రం	Water cycle
హోమియోపతీ వైద్య విధానం	Homeopathy
ఇంజనీరు	Engineer
ఫిరంగి	Cannon
అణుపుంజము	Polymer
మార్ఫిన్	Morphine
ఉడుము	Monitor lizard
సిమెన్స్ AG	Siemens
ఆటోమేటెడ్ టెల్లర్ మెషీన్	Automated teller machine
ఎకరం	Acre
బ్రెట్ హార్ట్	Bret Hart
శనగలు	Chickpea
పాల కూర	Spinach
సిట్రస్	Citrus
పియర్స్ బ్రోస్నన్	Pierce Brosnan
పాస్కల్(కంప్యూటర్)	Pascal (programming language)
తుమ్మ	Acacia
ఫాస్ట్ ఫుడ్	Fast food
వాతావరణ పీడనం	Atmospheric pressure
మోనికా బెల్లూచి	Monica Bellucci
గొంగళి పురుగు	Caterpillar
చెంచా	Spoon
నొప్పి	Pain
జిబ్రయీల్	Gabriel
కాంచెన్‌జంగా	Kangchenjunga
కొమ్ము	Horn (anatomy)
భాషా భాగాలు	Part of speech
రఘుపతి సహాయ్ ఫిరాఖ్	Firaq Gorakhpuri
స్టీవెన్ సీగల్	Steven Seagal
ఆహార మరియు వ్యవసాయ సంస్థ	Food and Agriculture Organization
ఉత్ప్రేరకాలు	Catalysis
అవక్షేపణ రాయి	Sedimentary rock
విరామ చిహ్నములు	Punctuation
రక్త పీడనం	Blood pressure
గడ్డం	Chin
చిత్రం స్కానర్	Image scanner
పేరు	Name
సొకొట్రా	Socotra
భారతదేశంలోని ఏడు అద్భుతాలు	Times of India's list of seven wonders of India
నారాయణ్ కార్తికేయన్	Narain Karthikeyan
రాజకీయవేత్త	Politician
చైనా చరిత్ర	History of China
షడ్భుజి	Hexagon
పుట్ట గొడుగు	Mushroom
భారత జాతీయగీతం	Jana Gana Mana
టవర్ వంతెన	Tower Bridge
సారపప్పు	Buchanania lanzan
షార్లోట్టేస్ వెబ్ 2: విల్బుర్స్ గ్రేట్ అడ్వెంచర్	Charlotte's Web 2: Wilbur's Great Adventure
శ్రీనివాస రామానుజన్	Srinivasa Ramanujan
ఈస్టిండియా కంపెనీ	East India Company
జాజికాయ	Nutmeg
పైకప్పు	Roof
అలీనోద్యమం	Non-Aligned Movement
కెప్లర్ గ్రహ గమన నియమాలు	Kepler's laws of planetary motion
నేరం	Crime
స్పాంజ్‌బాబ్ స్క్వేర్ పాంట్స్	SpongeBob SquarePants
శిలావరణం	Lithosphere
ఉరుము	Thunder
ఫోర్ట్రాన్	Fortran
టైఫాయిడ్	Typhoid fever
నైట్రిక్ ఆమ్లం	Nitric acid
గియాకోమో కాసనోవా	Giacomo Casanova
గురునానక్	Guru Nanak
ఎరువు	Fertilizer
లైసోసోము	Lysosome
జేమ్స్‌ వాట్సన్‌	James Watson
సున్తీ	Circumcision
ఒరిగమి	Origami
జేమ్స్ డీన్	James Dean
జీన్స్ (వస్త్రం)	Jeans
కర్మాగారము	Factory
స్పార్టకస్	Spartacus
మెగాడెత్	Megadeth
భాక్రా డామ్	Bhakra Dam
మనాలి	Manali, Himachal Pradesh
జాన్ టెర్రీ	John Terry
సభ్యోక్తి	Euphemism
జుడాస్ ప్రీస్ట్	Judas Priest
వేడి నీటి బుగ్గ	Geyser
మణికరన్	Manikaran
మరాఠా సామ్రాజ్యం	Maratha Empire
జహాంగీర్	Jahangir
షాజహాన్	Shah Jahan
సిమ్లా	Shimla
పైథాన్ సాఫ్ట్‌వేర్ ఫౌండేషన్	Python Software Foundation
ఆదిల్‌షాహీ వంశము	Adil Shahi dynasty
ఋతుచక్రం	Menstrual cycle
మిడత	Locust
గౌడ	Gouda
HCard	HCard
రాతప్రతులు	Manuscript
శబ్ద కాలుష్యం	Noise pollution
వర్గం:బార్‌కోడ్‌లు	Category:Barcodes
మూస:Cite book	Template:Cite book
జేమ్స్ గోస్లింగ్	James Gosling
ఆలిస్'స్ ఎడ్వెన్చర్స్ ఇన్ వండర్‌ల్యాండ్	Alice's Adventures in Wonderland
ఎరిక్ ఇ. ష్మిత్	Eric Schmidt
సర్జీ బ్రిన్	Sergey Brin
డా.రాజ్ రెడ్డి	Raj Reddy
సుభాష్ కాక	Subhash Kak
విలియం హార్వే	William Harvey
లూయీ బ్రెయిలీ	Louis Braille
రేఖాచిత్రం	Drawing
కోడి గుడ్డు	Egg (food)
విడాకులు	Divorce
బాలీవుడ్	Bollywood
తులిప్	Tulip
డాక్యుమెంటరీ చిత్రం	Documentary film
ఈము	Emu
ఓ.ఎస్.ఐ నమూనా	OSI model
ద హూ	The Who
సీమస్ హీనీ	Seamus Heaney
బాబ్ హోప్	Bob Hope
పొద్దుతిరుగుడు నూనె	Sunflower oil
ఖాన్ అకాడమీ	Khan Academy
పండిత రమాబాయి	Pandita Ramabai
పాంథియోన్, రోమ్	Pantheon, Rome
ఫాల్కిర్క్ చక్రము	Falkirk Wheel
తలగడ	Pillow
నవాడా	Nawada district
పుర్నియా	Purnia district
రోహ్తాస్	Rohtas district
షెవొహార్	Sheohar district
పశ్చిమ చంపారణ్	West Champaran district
వైశాలి	Vaishali district
సివన్	Siwan district
సీతామర్హి	Sitamarhi district
శరన్	Saran district
బస్తర్ జిల్లా	Bastar district
బిలాస్‌పూర్	Bilaspur district, Chhattisgarh
బీజపుర్ (చత్తిస్ ఘడ్)	Bijapur district, Chhattisgarh
దుర్గ్	Durg district
ధమ్తారి	Dhamtari district
దంతేవాడ	Dantewada district
పౌండ్ (పరిమాణం)	Pound (mass)
ఇతర పదాల మొదటి అక్షరాల నుండి పుట్టిన పదం (ఏక్రానిం) మరియు ఇనీష్యలిజం	Acronym
ప్రోటోజోవా	Protozoa
మెకానికల్ ఇంజనీరింగ్	Mechanical engineering
ఇంటి పేర్లు	Family name
గంట (పరికరం)	Bell (instrument)
స్వైన్ ఫ్లూ	2009 flu pandemic
ఎస్టర్	Ester
ఆల్డిహైడు	Aldehyde
డీప్ పర్పుల్	Deep Purple
రాక్షస గూళ్లు	Dolmen
వాక్యూమ్ క్లీనర్	Vacuum cleaner
బలిపీఠము	Altar
ఇగ్లూ	Igloo
తేయాకు	Camellia sinensis
కలుపు మొక్క	Weed
సెగవ్యాధి	Gonnococcal infection
ప్రయోగం	Experiment
ఉలిపిరి కాయలు	Wart
రోనాల్డ్ రాస్	Ronald Ross
ఇవాంజెలిస్టా టొర్రిసెల్లి	Evangelista Torricelli
డాక్టర్ నో	Dr. No (film)
కనిష్ఠ సామాన్య గుణిజం	Least common multiple
సోడియమ్ హైడ్రాక్సైడ్	Sodium hydroxide
ఖనిజాలు	Ore
తేనెటీగ	Honey bee
హారియట్ టబ్‌మన్	Harriet Tubman
కేసరము	Stamen
ఈథరు	Ether
వి ఫర్ వెండెట్టా	V for Vendetta
రవి శంకర్	Ravi Shankar
మూలవాసులు	Indigenous peoples
చార్లీ షీన్	Charlie Sheen
తెలుగు వచనములు	Grammatical number
రాతినార	Asbestos
పల్ప్ ఫిక్షన్ (చలన చిత్రం)	Pulp Fiction
పంటి చిగురు	Gingiva
జాన్ బోర్గ్	Björn Borg
పౌర్ణమి	Full moon
రాబర్ట్‌ ఎడ్వర్డ్స్‌	Robert Edwards (physiologist)
రేడియో పౌనఃపున్య గుర్తింపు	Radio-frequency identification
సిడ్నీ షెల్డన్	Sidney Sheldon
గోమేదికం	Garnet
పరుగు (రన్)	Running
క్రైస్తవుడు	Christian
సీలియేటా	Ciliate
మజ్జిగ	Buttermilk
మాగ్నస్ కార్ల్‌సన్	Magnus Carlsen
వీర్-జారా	Veer-Zaara
మిర్జా గాలిబ్	Ghalib
జగ్జీత్ సింగ్	Jagjit Singh
రాజేష్ ఖన్నా	Rajesh Khanna
కాపర్ సల్ఫేట్	Copper(II) sulfate
మంగలి	Barber
మెగా	Mega-
జనపనార	Jute
పుష్ప రక్షక పత్రం	Sepal
ది బోర్న్ అల్టిమేటం (చలనచిత్రం)	The Bourne Ultimatum (film)
పక్షవాతం	Paralysis
రాబర్ట్ లుకాస్	Robert Lucas, Jr.
పూరేకు	Petal
నోబెల్ పూలు	Cymbidium goeringii
హరగోవింద్ ఖొరానా	Har Gobind Khorana
అగ్నిమాపక శాఖ	Firefighter
మధ్య ఢిల్లీ	Central Delhi
నార్త్ గోవా	North Goa
పరీక్ష నాళిక	Test tube
సౌత్ గోవా	South Goa
వినోద భరితమైన విలువిద్యా ప్రదర్శనలు	Archery
ధ్యానం	Meditation
గిగా-	Giga-
టెరా-	Tera-
ఎ. ఆర్. రెహమాన్	A. R. Rahman
ఇంక్‌జెట్ ప్రింటర్	Inkjet printing
దేశాల జాబితా – తలసరి నామినల్ జి.డి.పి. క్రమంలో	List of countries by GDP (nominal) per capita
రోటరీ క్లబ్	Rotary International
యుగళగీతం	Duet
ఇంగువ	Asafoetida
మాలకాకి	Jungle crow
హుసైన్ ఇబ్న్ అలీ	Husayn ibn Ali
మన్మథుడు	Kamadeva
రాధ	Radha
రినైటిస్‌	Rhinitis
బీహార్ ముఖ్యమంత్రులు	List of Chief Ministers of Bihar
సంగమగ్రామ మాధవుడు	Madhava of Sangamagrama
బక్షాళి వ్రాతప్రతి	Bakhshali manuscript
బాట్‌మాన్ (1989 చిత్రం)	Batman (1989 film)
రామన్ మెగసెసే	Ramon Magsaysay
చుండ్రు	Dandruff
ఆక్సి అసిటిలిన్ వెల్డింగు	Oxy-fuel welding and cutting
గ్రాండ్ కేనియన్	Grand Canyon
మాగ్నోలియేసి	Magnoliaceae
కోల్డు వెల్డింగు	Cold welding
క్లోనింగ్	Cloning
అమేడియో మొడిగ్లియాని	Amedeo Modigliani
భీమ్‌సేన్ జోషి	Bhimsen Joshi
కుమార్ గాంధర్వ	Kumar Gandharva
సమాచార వ్యవస్థలు	Information system
మెలోప్సిట్టాసిని	Budgerigar
శ్రీ కృష్ణదేవ రాయలు	Krishnadevaraya
అవస్థాపన సౌకర్యాలు	Infrastructure
అలీసియా కీస్	Alicia Keys
ఆక్యుపంక్చర్	Acupuncture
హిల్లరీ డఫ్	Hilary Duff
వొడఫోన్	Vodafone
హెర్మన్ రోషాక్	Hermann Rorschach
రాబందు	Vulture
గోల్డ్ ఫిష్	Goldfish
వెనెస్సా హడ్జెన్స్	Vanessa Hudgens
ఫ్లాస్టిక్ కాలుష్యం	Stress (biology)
భూపరివేష్టిత దేశం	Landlocked country
ఆవిష్కరణ	Invention
రాయల్ సొసైటీ	Royal Society
జకాత్	Zakat
స్కార్పియన్స్ (బ్యాండ్)	Scorpions (band)
కిస్ (బ్యాండ్)	Kiss (band)
శివ పురాణము	Shiva Purana
వానపాము	Earthworm
డయాబెటిస్ మెల్లిటస్ రకం 1	Diabetes mellitus type 1
వాషింగ్ మెషీన్	Washing machine
ధరిత్రి దినోత్సవం	Earth Day
రుచి	Taste
ప్లాటీహెల్మింథిస్	Flatworm
స్లమ్‌డాగ్ మిలియనీర్	Slumdog Millionaire
సాల్మా హాయక్	Salma Hayek
కమలాపండు	Mandarin orange
రంపం	Saw
సముద్రమట్టం	Sea level
ఇమామ్	Imam
ఎడ్వర్డ్ నార్టన్	Edward Norton
దూరం	Distance
హన్నా మోంటానా	Hannah Montana
వ్యావహారికసత్తావాదం	Pragmatism
కిండర్ గార్టెన్ (బాల విహార్)	Kindergarten
కండర సంకోచము	Muscle contraction
మంగళూరు	Mangalore
ఫోలిక్ ఆమ్లం	Folic acid
వాంతి	Vomiting
పెర్ల్ నౌకాశ్రయం	Pearl Harbor
అలో	Aloe
బిగ్ బ్రదర్ (TV సిరీస్)	Big Brother (TV series)
బాంబు	Bomb
గర్భాదానము	Fertilisation
సిరా	Ink
నీలమణి	Sapphire
సలీం చిష్తీ	Salim Chishti
పెనం	Frying pan
శుక్లము	Cataract
పంచభుజి	Pentagon
కలం పేరు	Pen name
ఎం.జి.రామచంద్రన్	M. G. Ramachandran
మైక్రోవేవ్ ఓవెన్	Microwave oven
లెవీ స్ట్రాస్ అండ్ కో.	Levi Strauss & Co.
కొలెస్టరాల్‌	Fat
గిట్ట	Hoof
నైరూప్య కళ	Abstract art
క్యూబా క్షిపణి సంక్షోభం	Cuban Missile Crisis
ఇంద్రుడు	Indra
బయోఇన్ఫర్మేటిక్స్	Bioinformatics
రొమ్ము కాన్సర్	Breast cancer
పునర్జన్మ	Reincarnation
జాన్ నాష్	John Forbes Nash, Jr.
భారతదేశ విభజన	Partition of India
ట్రఫాల్గర్ స్క్వేర్	Trafalgar Square
చంద్రశేఖరేంద్ర సరస్వతి స్వామి	Patrick White
బోను	Cage (enclosure)
రక్త విరేచనాలు	Dysentery
దుగోంగ్	Dugong
హ్యూ జాక్‌మన్	Hugh Jackman
యతి (ఒక వింత జీవి)	Yeti
తొడ	Thigh
అడోబీ ఫోటోషాప్	Adobe Photoshop
జాతీయ ప్రజాస్వామ్య కూటమి	National Democratic Alliance (India)
ఆమ్ ఆద్మీ పార్టీ	Aam Aadmi Party
లండన్ వంతెన	London Bridge
గండభేరుండము	Griffin
మక్‌బెత్	Macbeth
జార్జ్ మైకేల్	George Michael
సృష్ఠివాదం	Creationism
స్థానికీకరణ	Language localisation
భ్రాంతి	Hallucination
పొగ	Smoke
కీచురాయి	Cicada
చూయింగ్ గమ్	Chewing gum
దాలియా	Dahlia
కెలోరి	Calorie
అనుమస్తిష్కము	Cerebellum
హారూన్ రషీద్	Harun al-Rashid
టాక్సోప్లాస్మా	Toxoplasma gondii
ఎయిర్ ఫ్రాన్స్	Air France
సైంటాలజీ	Scientology
పాల్ క్రుగ్మాన్	Paul Krugman
అన్నా కోర్నికోవా	Anna Kournikova
వాయు కాలుష్యం	Air pollution
అనస్థీషియా	Anesthesia
డిటర్మినిజం	Determinism
ఛలోక్తి	Joke
కోబాల్	COBOL
టామ్ మరియు జెర్రీ	Tom and Jerry
ఆదర్శధామం	Utopia
వెబ్ 2.0	Web 2.0
వెల్డింగ్	Welding
ప్రొపేన్	Propane
గొల్లభామ (కీటకం)	Mantis
విమ్	Vim (text editor)
సంభాషణ	Dialogue
సాసేజ్ (నంజుడు కూర)	Sausage
లక్ష్మి	Lakshmi
ఫ్లోరా (వృక్ష జాతులు)	Flora
యునైటెడ్ స్టేట్స్ లైబ్రరీ ఆఫ్ కాంగ్రెస్	Library of Congress
హిజ్రత్	Hijra (Islam)
వ్యాపార సంస్థ వనరుల ప్రణాళికా రచన	Enterprise resource planning
మంత్రం	Mantra
వ్యవసాయదారుడు	Farmer
సోఫా	Couch
బూమరాంగ్	Boomerang
భారతదేశం యొక్క రాష్ట్రాలు మరియు కేంద్రపాలిత ప్రాంతాలు	States and union territories of India
సముచిత వినియోగం	Fair use
నల్లమందు	Papaver somniferum
స్మిత్‌సోనియన్ సంస్థ	Smithsonian Institution
పతకం	Medal
లినక్స్ పంపకం	Linux distribution
జలాశయము	Reservoir
పిండోత్పత్తి	Embryology
క్రిస్ ఏంజెల్	Criss Angel
తువ్వాలు	Towel
హెన్రీ కేవిండిష్	Henry Cavendish
అంటువ్యాధి	Infectious disease
హెపటైటిస్	Hepatitis
అత్తరు	Perfume
అనోరెక్సియా నెర్వోసా	Anorexia nervosa
గరిష్ఠ సామాన్య భాజకం	Greatest common divisor
బైపోలార్ డిజార్డర్	Bipolar disorder
హంఫ్రీ డేవీ	Humphry Davy
యవ్వనం	Adolescence
రబ్బరు	Natural rubber
గవర్నరు	Governor
కాళికాదేవి	Kali
సానియా మీర్జా	Sania Mirza
నైట్రోసోమానాస్	Nitrosomonas
నిసీరియా	Neisseria
స్టైలిడియేసి	Stylidiaceae
స్టెమోనేసి	Stemonaceae
లేడీ స్లిప్పర్ పూలు	Cypripedioideae
ప్రోటియస్	Proteus (bacterium)
ఎర్సీనియా	Yersinia
ఆర్గోఫిల్లేసి	Argophyllaceae
సిట్రుల్లస్	Citrullus
పండుగ	Festival
వృక్క సిర	Renal vein
ఆయుర్వేదం	Ayurveda
డేవిస్ కప్	Davis Cup
షోరియా	Shorea
గట్టిఫెరె	Clusiaceae
అభివృద్ధి చెందిన దేశం	Developed country
అమర్త్యా సేన్	Amartya Sen
ఎలక్ట్రాన్ సూక్ష్మదర్శిని	Electron microscope
రీసైక్లింగ్	Recycling
రేసుకుక్కలు	Dhole
విటెక్స్	Vitex
జీలకర్ర	Cumin
విగ్నా	Vigna
అబూటిలాన్	Abutilon
యమునా నది	Yamuna
ఫ్యాక్స్	Fax
థామస్ హార్డీ	Thomas Hardy
హత్య	Murder
మదరసా	Madrasa
టిరోకార్పస్	Pterocarpus
డిస్లెక్సియా	Dyslexia
డునెడిన్	Dunedin
గిలక (హెర్నియా)	Hernia
గౌటు	Gout
కాలు	Leg
భారతదేశ చరిత్ర	History of India
విద్యుదయస్కాంత వర్ణపటం	Electromagnetic spectrum
అసిటిలిన్	Acetylene
మెంతులు	Fenugreek
ఫిలాంథేసి	Phyllanthaceae
ముస్లిం బ్రదర్‌హుడ్	Muslim Brotherhood
పచ్చకామెర్లు	Jaundice
వీపు	Human back
తెగలు	Tribe
ప్రోసోపిస్	Prosopis
వర్ణాంధత్వం	Color blindness
వివృతబీజాలు	Gymnosperm
